#Column heading	Definition
#Mass %	Mass of solute divided by total mass of solution, expressed as percent
#Molality, moles of solute per kg of water
#Molarity, moles of solute per liter of solution
#Density of solution, in g cm-3
#Index of refraction, relative to air, at a wavelength of 589 nm (sodium D line); the index of pure water at 20 ¡C is 1.3330
#Freezing point depression relative to pure water, in ¡C
#Absolute (dynamic) viscosity, in mPa s (equal to centipoise, cP); the viscosity of pure water at 20 ¡C is 1.002 mPa s
#Density data for aqueous solutions over a wider range of temperatures and pressures (and for additional compounds not in this table) may be found in Ref. 2.														
#														
Row	SubHeader	Solute	Synonym	Formula	CAS_Reg_No	Mol_wt	Mass_prct	Mass_fraction	Molality_m	Molarity_c	Density	Refractive_index_n	T_freeze_supression	Viscosity_dynamic
1	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	0.5	0.005	0.084	0.083	0.9989	1.3334	0.16	1.012
2	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	1	0.01	0.168	0.166	0.9996	1.3337	0.32	1.022
3	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	2	0.02	0.34	0.333	1.0011	1.3345	0.63	1.042
4	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	3	0.03	0.515	0.501	1.0025	1.3352	0.94	1.063
5	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	4	0.04	0.694	0.669	1.0038	1.3359	1.26	1.084
6	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	5	0.05	0.876	0.837	1.0052	1.3366	1.58	1.105
7	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	6	0.06	1.063	1.006	1.0066	1.3373	1.9	1.125
8	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	7	0.07	1.253	1.175	1.008	1.3381	2.23	1.143
9	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	8	0.08	1.448	1.345	1.0093	1.3388	2.56	1.162
10	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	9	0.09	1.647	1.515	1.0107	1.3395	2.89	1.186
11	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	10	0.1	1.85	1.685	1.0121	1.3402	3.23	1.21
12	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	11	0.11	2.058	1.856	1.0134	1.3409	3.57	1.231
13	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	12	0.12	2.271	2.028	1.0147	1.3416	3.91	1.253
14	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	13	0.13	2.488	2.2	1.0161	1.3423	4.26	1.275
15	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	14	0.14	2.711	2.372	1.0174	1.343	4.61	1.298
16	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	15	0.15	2.939	2.545	1.0187	1.3437	4.97	1.32
17	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	16	0.16	3.172	2.718	1.02	1.3444	5.33	1.341
18	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	17	0.17	3.411	2.891	1.0213	1.3451	5.69	1.36
19	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	18	0.18	3.655	3.065	1.0225	1.3458	6.06	1.38
20	Acetic acid	Acetic acid	Ethanoic acid	CH3COOH	64-19-7	60.052	19	0.19	3.906	3.239	1.0238	1.3465	6.43	1.405
